,quote,author,category,quote_norm
554,You'll come to learn a great deal if you study the Insignificant in depth,Odysseus Elytis,"insignificant, learning",You will come to learn a great deal if you study the Insignificant in depth
555,"Echoes can’t read minds. But when you get to know someone very well, you can read their expressions. Pay attention. It will happen to you too.",Tal Boldo,"friendship, the-sound-and-the-echoes, wise-quotes","Echoes cannot read minds. But when you get to know someone very well, you can read their expressions. Pay attention. It will happen to you too."
556,"Tell me, where in life is there a value that would make us consider suicide uncalled for on principle! Love? Or friendship? I guarantee that friendship is not a bit less fickle than love and it is impossible to build anything on it. Self-love? I wish it were possible.","Milan Kundera, Laughable Loves","friendship, love, suicide","Tell me, where in life is there a value that would make us consider suicide uncalled for on principle! Love? Or friendship? I guarantee that friendship is not a bit less fickle than love and it is impossible to build anything on it. Self-love? I wish it were possible."
557,"My mother was a terrific force in my life. Wartime-generation woman, hadn't gone to university but should have done. Was very funny, very verbal, very clever, very witty.",Ian Hislop,"Life, Mother, Woman ","My mother was a terrific force in my life. Wartime-generation woman, had not gone to university but should have done. Was very funny, very verbal, very clever, very witty."
558,Not by appointment do we meet delight Or joy they heed not our expectancy But round some corner of the streets of life they of a sudden greet us with a smile. ,Gerald Massey,"Life, Joy, Streets ",Not by appointment do we meet delight Or joy they heed not our expectancy But round some corner of the streets of life they of a sudden greet us with a smile.
559,"Failure is what we're all running from, we're always running toward success with failure at our back.",Natalie Goldberg,"Success, Back, Always ","Failure is what we are all running from, we are always running toward success with failure at our back."
560,"I have found that I always learn more from my mistakes than from my successes. If you aren't making some mistakes, you aren't taking enough chances.",John Sculley,"Mistakes, Learn, You ","I have found that I always learn more from my mistakes than from my successes. If you are not making some mistakes, you are not taking enough chances."
561,Life is a journey without destination but it unfolds our conscious and subconscious expectations.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quotes, truth, wisdom",Life is a journey without destination but it unfolds our conscious and subconscious expectations.
562,"After the war of course it will be like the start of spring, which is always so brilliantly sudden. The leaves will burst back onto the trees and close the gaps between the branches and we shall be startled - shan't we? - s we are startled at the end of every winter. We shall think: oh, I had quite forgotten there were three livable seasons.","Chris Cleave, Everyone Brave is Forgiven","spring, winter","After the war of course it will be like the start of spring, which is always so brilliantly sudden. The leaves will burst back onto the trees and close the gaps between the branches and we shall be startled - shall not we? - s we are startled at the end of every winter. We shall think: oh, I had quite forgotten there were three livable seasons."
563,Some people change their ways when they see the light  others when they feel the heat.,Caroline Schoeder,motivational,Some people change their ways when they see the light others when they feel the heat.
564,"Having a passive personality, is a soft way to live a dead life.",Omar EL KADMIRI,"passive, passive-personality, personality","Having a passive personality, is a soft way to live a dead life."
565,"The good news is that, according to the Obama administration, the rich will pay for everything. The bad news is that, according to the Obama administration, you're rich.",P. J. O'Rourke,"Good, Rich, You ","The good news is that, according to the Obama administration, the rich will pay for everything. The bad news is that, according to the Obama administration, you are rich."
566,"They put spotlights on me standing there in the road in jeans and workclothes, with the big woeful rucksack a-back, and asked:-""Where are you going?"" which is precisely what they asked me a year later under Television floodlights in New York, ""Where are you going?""-Just as you cant explain to the police, you cant explain to society ""Looking for peace.","Jack Kerouac, Desolation Angels","art, peace, police, religion, society","They put spotlights on me standing there in the road in jeans and workclothes, with the big woeful rucksack a-back, and asked:-""Where are you going?"" which is precisely what they asked me a year later under Television floodlights in New York, ""Where are you going?""-Just as you cannot explain to the police, you cannot explain to society ""Looking for peace."
567,"And I'll dance with you in Vienna,I'll be wearing a river's disguise.The hyacinth wild on my shouldermy mouth on the dew of your thighs.And I'll bury my soul in a scrapbook,with the photographs there and the moss.And I'll yield to the flood of your beauty,my cheap violin and my cross.","Leonard Cohen, Stranger Music: Selected Poems and Songs","friendship, love, memory, music","And I will dance with you in Vienna,I will be wearing a river's disguise.The hyacinth wild on my shouldermy mouth on the dew of your thighs.And I will bury my soul in a scrapbook,with the photographs there and the moss.And I will yield to the flood of your beauty,my cheap violin and my cross."
568,"Some people say funny things, but I say things funny.",Don Rickles,"People, People Say, Say ","Some people say funny things, but I say things funny."
569,"It's very helpful to realize that being here, sitting in meditation, doing simple everyday things like working, walking outside, talking with people, bathing, using the toilet, and eating, is actually all that we need to be fully awake, fully alive, fully human.","Pema Chödrön, The Wisdom of No Escape: How to Love Yourself and Your World",meditation,"It is very helpful to realize that being here, sitting in meditation, doing simple everyday things like working, walking outside, talking with people, bathing, using the toilet, and eating, is actually all that we need to be fully awake, fully alive, fully human."
570,"In our society, if someone wants to be a hairstylist or a kickboxer or a hunting guide -or a schoolteacher- he or she must be trained and licensed by a state agency. No such requirement is necessary for parenthood. Anyone with a set of reproductive organs is free to create a child, no questions asked, and raise them as they see fit, so long as there are no visible bruises- and then turn that child over to the school system so the teachers can work their magic. Maybe we are asking too much of the schools and too little of our parents and kids?.",Stephen D. Levitt Stephen J. Dubner,"education, parenthood, school, system","In our society, if someone wants to be a hairstylist or a kickboxer or a hunting guide -or a schoolteacher- he or she must be trained and licensed by a state agency. No such requirement is necessary for parenthood. Anyone with a set of reproductive organs is free to create a child, no questions asked, and raise them as they see fit, so long as there are no visible bruises- and then turn that child over to the school system so the teachers can work their magic. Maybe we are asking too much of the schools and too little of our parents and kids?."
571,"They themselves do not see the world of light as we do, but our shapes cast shadows in their minds, which only the noon sun destroys.","J.R.R. Tolkien, The Fellowship of the Ring","light, shadows","They themselves do not see the world of light as we do, but our shapes cast shadows in their minds, which only the noon sun destroys."
572,"The higher you rise in the business ladder, the smaller your balls become.",Santosh Kalwar,"business, business-quotes, funny-quotes, jokes","The higher you rise in the business ladder, the smaller your balls become."
573,"Hey, any idea why Australians speak something that sounds deceptively like English but isn’t? I mean, I’m trying to figure out why I can’t seem to converse with another human being who speaks the same language as I do.","Elle Lothlorien, Alice in Wonderland",contemporary-romance,"Hey, any idea why Australians speak something that sounds deceptively like English but is not? I mean, I Am trying to figure out why I cannot seem to converse with another human being who speaks the same language as I do."
574,What gives value to travel is fear. It breaks down a kind of inner structure we all have.,Elizabeth Benedict,"fear, travel",What gives value to travel is fear. It breaks down a kind of inner structure we all have.
575,What...what about when I'm married?”“We'll buy a cot. Your husband can sleep on that when he visits.,"Stephanie Perkins, Lola and the Boy Next Door",humor,What...what about when I am married?We will buy a cot. Your husband can sleep on that when he visits.
576,"POLITICS, n. A strife of interests masquerading as a contest of principles. The conduct of public affairs for private advantage.","Ambrose Bierce, The Unabridged Devil's Dictionary",politics,"POLITICS, n. A strife of interests masquerading as a contest of principles. The conduct of public affairs for private advantage."
577,"Genuine self-acceptance is not derived from the power of positive thinking, mind games or pop psychology. IT IS AN ACT OF FAITH in the God of grace.","Brennan Manning, The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out","god, god-s-love, self-acceptance, self-esteem","Genuine self-acceptance is not derived from the power of positive thinking, mind games or pop psychology. IT IS AN ACT OF FAITH in the God of grace."
578,"Anyone who thought death warmed over didn't look good, had never seen this guy.","Donna Augustine, Karma","fate, karma, urban-fantasy","Anyone who thought death warmed over did not look good, had never seen this guy."
579,Neglected dreams become regrets.,"Stephen Richards, Success is Only One Thought Away: Motivational and Inspirational Quotes from Mind Power Professional Stephen Richards","dreams, regrets, stephen-richards-author",Neglected dreams become regrets.
580,I'm still living the life where you get home and open the fridge and there's half a pot of yogurt and a half a can of flat Coca-Cola.,Alan Rickman,"Life, Living, You ",I am still living the life where you get home and open the fridge and there is half a pot of yogurt and a half a can of flat Coca-Cola.
581,"The future is only the past again, entered through another gate.",Arthur Wing Pinero,"future, past","The future is only the past again, entered through another gate."
582,The dancing vortex of a sacred metaphor clashes horns and halos to make wounded music set to the tempo of a new era in brilliant labor.,"Aberjhani, The River of Winged Dreams","angels, celebrating-poetry, classic-books, classic-quotes, creative-work, creativity, healing, metaphors, moving-on, music, nanowrimo, national-poetry-month, poem-in-your-pocket-day, poems-by-aberjhani, poetry-celebrations, recovery, spirituality, symbolism, vortex, world-poetry-day",The dancing vortex of a sacred metaphor clashes horns and halos to make wounded music set to the tempo of a new era in brilliant labor.
583,"As the tension between the Protestants and the Church of Rome intensified, so did the desire for a third way among dissenting groups. Soon a new group emerged, though in some senses it was also an old group—one that felt it could trace its origins all the way back to the New Testament. Known collectively as the Radical Reformation, these persecuted groups often advocated a nonviolent ethic, the separation of church and state, and a desire for both personal and corporate holiness. The ideas of these radicals spread through Europe, and over the years the Amish, Mennonites and Anabaptists, and to a lesser degree the Covenanters and Quakers, emerged or were influenced by this movement.","David  Holdsworth, Angelos","historical-fiction, historical-romance, peace, war","As the tension between the Protestants and the Church of Rome intensified, so did the desire for a third way among dissenting groups. Soon a new group emerged, though in some senses it was also an old groupone that felt it could trace its origins all the way back to the New Testament. Known collectively as the Radical Reformation, these persecuted groups often advocated a nonviolent ethic, the separation of church and state, and a desire for both personal and corporate holiness. The ideas of these radicals spread through Europe, and over the years the Amish, Mennonites and Anabaptists, and to a lesser degree the Covenanters and Quakers, emerged or were influenced by this movement."
584,Everyone has their invisible cloak of all things past.,"Catherynne M. Valente, The Girl Who Soared Over Fairyland and Cut the Moon in Two","memory, past",Everyone has their invisible cloak of all things past.
585,"The beauty about creating soundtracks is that each time I’m living in a magical world, a world of the logic of sense away from the crazy world we’re living in where materialism in charge of our destiny",Sami Abouzid,love-quotes,"The beauty about creating soundtracks is that each time I Am living in a magical world, a world of the logic of sense away from the crazy world were living in where materialism in charge of our destiny"
586,Patents stand for you when everything else is lost,"Kalyan C. Kankanala, Fun IP, Fundamentals of Intellectual Property","india, intellectual-property, patents",Patents stand for you when everything else is lost
587,"Woman! Come out! I have—"" She looked down at the bloodless grass, embarrassed. ""I have come to rescue you,"" she finally said, as if admitting that she were covered in boils.","Catherynne M. Valente, In the Night Garden","humor, rescuing, witches","Woman! Come out! I have"" She looked down at the bloodless grass, embarrassed. ""I have come to rescue you,"" she finally said, as if admitting that she were covered in boils."
588,"To be at peace, does not mean that you are amiss of every storm, it only means that you can find a calm within the storm.","Tania Elizabeth, The Tier of Eternal Grace: The Souls Cry","belief, calm, inspirational, peace, strength","To be at peace, does not mean that you are amiss of every storm, it only means that you can find a calm within the storm."
589,"One thing, all things: move among and intermingle, without distinction. To live in this realization is to be without anxiety about non-perfection. To live in this faith is the road to non-duality, because the non-dual is one with the trusting mind.","Sengcan, Hsin Hsin Ming","wisdom, zen","One thing, all things: move among and intermingle, without distinction. To live in this realization is to be without anxiety about non-perfection. To live in this faith is the road to non-duality, because the non-dual is one with the trusting mind."
590,One of our duties on this planet is to dissolve the negative emotions associated with negative memories while we motivate ourselves and other people.,"Hina Hashmi, Your Life A Practical Guide to Happiness Peace and Fulfilment","emotions, emotions-quotes, memories",One of our duties on this planet is to dissolve the negative emotions associated with negative memories while we motivate ourselves and other people.
591,"Each year, every city in the world that can should have a multiday festival. More people meeting each other, digging new types of music, new foods, new ideas. You want to stop having so many wars? This could be a step in the right direction.",Henry Rollins,"City, World, Step ","Each year, every city in the world that can should have a multiday festival. More people meeting each other, digging new types of music, new foods, new ideas. You want to stop having so many wars? This could be a step in the right direction."
592,"I've had various people close to me die, and I don't necessarily find the idea of death purely depressing.",Simon McBurney,"Me, People, Die ","I have had various people close to me die, and I do not necessarily find the idea of death purely depressing."
593,My ultimate aim is to make euthanasia a positive experience.,Jack Kevorkian,"Positive, Aim, Euthanasia ",My ultimate aim is to make euthanasia a positive experience.
594,Leadership comes at a cost.It’s called servant leadership.,Farshad Asl,"leadership, servant-leadership",Leadership comes at a cost.Its called servant leadership.
595,"A moving target is harder to kill, and I didn't stop running, maneuvering, until I reached home base, where I could breathe between death-defying sprints. I just need to make it home alive, and this will all be over, I told myself. Home.","M.B. Dallocchio, The Desert Warrior","army, home, iraq, ptsd, survival, trauma, veteran, war","A moving target is harder to kill, and I did not stop running, maneuvering, until I reached home base, where I could breathe between death-defying sprints. I just need to make it home alive, and this will all be over, I told myself. Home."
596,"Just because you aren't rich or wealthy doesn't mean that you aren't successful. Life is full so many challenges, which pushing beyond each one of them is truly a success of its own",,"challenges, edmond-mbiaka, life, rich, success, wealthy, what-it-means-to-be-successful","Just because you are not rich or wealthy does not mean that you are not successful. Life is full so many challenges, which pushing beyond each one of them is truly a success of its own"
597,A thinking man never be a party man.,Friedrich Nietzsche,politics,A thinking man never be a party man.
598,"Constant repetition of tongue-twisters was like lifting weights for me, but patience and persistence have paid off.",Nicholas Brendon,"Persistence, Me, Repetition ","Constant repetition of tongue-twisters was like lifting weights for me, but patience and persistence have paid off."
599,Advocating well with a personal story is not a call to simply “Insert Story Here.,"John Capecci and Timothy Cage, Living Proof: Telling Your Story to Make a Difference","advocacy, advocate, personal-story, story",Advocating well with a personal story is not a call to simply Insert Story Here.
600,"The solitude of writing is also quite frightening. It's quite close to madness, one just disappears for a day and loses touch.","Nadine Gordimer, Conversations With Nadine Gordimer","nadine-gordimer, solitude, writing","The solitude of writing is also quite frightening. It is quite close to madness, one just disappears for a day and loses touch."
601,Drawing her closer he tucked his chin and lifted hers to meet his abysmal onyx eyes.,"Jennifer Silverwood, Silver Hollow","fairy-tales-for-adults, fantasy-fiction, paranormal-romance",Drawing her closer he tucked his chin and lifted hers to meet his abysmal onyx eyes.
602,"I can't understand how she could have wanted to live back here, away from everything,"" said Jane. ""Oh, I can easily understand that,"" said Anne thoughtfully. ""I wouldn't want it myself for a steady thing because, although I love the fields and woods, I love people too...","L.M. Montgomery, Anne of Avonlea","anne-of-avonlea, fields, home, l-m-montgomery, people, woods","I cannot understand how she could have wanted to live back here, away from everything,"" said Jane. ""Oh, I can easily understand that,"" said Anne thoughtfully. ""I would not want it myself for a steady thing because, although I love the fields and woods, I love people too..."
603,"I like the idea of Warrior Flitwick running to save the day by screaming, ""Let's do some charm harm, my snitches!",Dan Bergstein,harry-potter,"I like the idea of Warrior Flitwick running to save the day by screaming, ""Let us do some charm harm, my snitches!"
604,"As an educator myself, I understand the profound effect that good teachers and a quality education have on the lives of our young people.",Ben Bernanke,"Good, Myself, Quality ","As an educator myself, I understand the profound effect that good teachers and a quality education have on the lives of our young people."
605,Art is the triumph over chaos.,John Cheever,"Chaos, Triumph, Over ",Art is the triumph over chaos.
606,We don't want to feel less when we have finished a book, we want to feel that new possibilities of being have been opened to us. We don't want to close a book with a sense that life is totally unfair and that there is no light in the darkness, we want to feel that we have been given illumination.,We do not want to feel less when we have finished a book
607,worms have crawled up your nose and eaten your wits.,"George R.R. Martin, A Clash of Kings","cersei-lannister, morbid-humor, sarcasm, stupidity",worms have crawled up your nose and eaten your wits.
608,The wise have a solid sense of silence and the ability to keep a storehouse of secrets. Their capacity and character are respected.,Baltasar Gracian,wisdom,The wise have a solid sense of silence and the ability to keep a storehouse of secrets. Their capacity and character are respected.
609,It's a completely useless emotion - jealousy. I don't go there.,Joy Behar,"Emotion, Useless, Go ",It is a completely useless emotion - jealousy. I do not go there.
610,The place of happiness you can return to is in the arms of the one you love.,"Yuki Yoshihara, Butterflies, Flowers, Vol. 2","happiness, love, romantic",The place of happiness you can return to is in the arms of the one you love.
611,Don't limit a child to your own learning  for he was born in another time.,Rabbinical saying,parenthood,Do not limit a child to your own learning for he was born in another time.
612,The Google algorithm was a significant development. I've had thank-you emails from people whose lives have been saved by information on a medical website or who have found the love of their life on a dating website.,Tim Berners-Lee,"Love, Life, Dating ",The Google algorithm was a significant development. I have had thank-you emails from people whose lives have been saved by information on a medical website or who have found the love of their life on a dating website.
613,The price of success is the risk of self-esteem.,Jim Ruta,"risk, success, wisdom",The price of success is the risk of self-esteem.
614,"I have said so many times to many people on the spiritual path, 'You must be strong in yourself to help others. People who are in the emotional sea need someone who can pull them out, not someone who gets in with them and gets dragged away by the tidal wave of human emotions. We have to become emotional lifeguards.",Gordon Smith,"counselling, healing, spirituality","I have said so many times to many people on the spiritual path, 'You must be strong in yourself to help others. People who are in the emotional sea need someone who can pull them out, not someone who gets in with them and gets dragged away by the tidal wave of human emotions. We have to become emotional lifeguards."
615,A flower blossoms for its own joy.,Oscar Wilde,"beauty, flowers, happiness, joy",A flower blossoms for its own joy.
616,"When the mind is truly at peace, wherever you are is pleasant, Whether you live in a marketplace or in a mountain hermitage.","Baisao, The Old Tea Seller: Life and Zen Poetry in 18th Century Kyoto",peace-of-mind,"When the mind is truly at peace, wherever you are is pleasant, Whether you live in a marketplace or in a mountain hermitage."
617,"Death is a tragedy whether it is in the death of one girl-woman in London or seventy-seven men, women, and children in Norway. We know this, but perhaps it needs to be said over and over again so we do not forget.I have never considered compassion a finite resource. I would not want to live in a world where such was the case.","Roxane Gay, Bad Feminist","compassion, tragedy","Death is a tragedy whether it is in the death of one girl-woman in London or seventy-seven men, women, and children in Norway. We know this, but perhaps it needs to be said over and over again so we do not forget.I have never considered compassion a finite resource. I would not want to live in a world where such was the case."
618,"Because every time you see them happy you remember how sad they're going to be. And it breaks your heart. Because what's the point in them being happy now if they're going to be sad later. The answer is, of course, because they a re going to be sad later.","Steven Moffat, Doctor Who: The Shooting Scripts","doctor-who, happy","Because every time you see them happy you remember how sad they are going to be. And it breaks your heart. Because what is the point in them being happy now if they are going to be sad later. The answer is, of course, because they a re going to be sad later."
619,"Later times have laid all the blame upon the Goths and Vandals, but, however unwilling the partizans of the Christian system may be to believe or to acknowledge it, it is nevertheless true, that the age of ignorance commenced with the Christian system.There was more knowledge in the world before that period, than for many centuries afterwards; and as to religious knowledge, the Christian system, as already said, was only another species of mythology; and the mythology to which it succeeded, was a corruption of an ancient system of theism.; and if we take our stand about the beginning of the sixteenth century, we look back through that long chasm, to the times of the Ancients, as over a vast sandy desert, in which not a shrub appears to intercept the vision to the fertile hills beyond.","Thomas Paine, The Age of Reason","age-of-ignorance, ancients, blame, dark-ages, goths, ignorance, knowledge, progress, science, truth, vandals","Later times have laid all the blame upon the Goths and Vandals, but, however unwilling the partizans of the Christian system may be to believe or to acknowledge it, it is nevertheless true, that the age of ignorance commenced with the Christian system.There was more knowledge in the world before that period, than for many centuries afterwards; and as to religious knowledge, the Christian system, as already said, was only another species of mythology; and the mythology to which it succeeded, was a corruption of an ancient system of theism.; and if we take our stand about the beginning of the sixteenth century, we look back through that long chasm, to the times of the Ancients, as over a vast sandy desert, in which not a shrub appears to intercept the vision to the fertile hills beyond."
620,I intend to keep writing Christmas songs. There's still a lot more about Christmas that can be captured and feel like old-time Christmas. A lot of the traditions haven't been explained in song.,Clint Black,"Writing, Song, Traditions ",I intend to keep writing Christmas songs. There is still a lot more about Christmas that can be captured and feel like old-time Christmas. A lot of the traditions have not been explained in song.
621,Hollywood is a place where people from Iowa mistake each other for movie stars.,Fred Allen,humorous,Hollywood is a place where people from Iowa mistake each other for movie stars.
622,If what they say is right we're none of us going to have time to do all that we planned to do. But we can keep on doing it as long as we can.,"Nevil Shute, On the Beach",theology,If what they say is right we are none of us going to have time to do all that we planned to do. But we can keep on doing it as long as we can.
623,He thought others were small, that was his greatness.,"Dejan Stojanovic, The Sun Watches the Sun",He thought others were small
624,Nigeria has divided itself into PDP and APC.The PDP is to go on making mistakes while APC is to prevent mistakes from being corrected.,Saminu Kanti,"mistakes, nigeria, political-party, politics, racism",Nigeria has divided itself into PDP and APC.The PDP is to go on making mistakes while APC is to prevent mistakes from being corrected.
625,"A thousand lips, a thousand eyes,a thousand hearts will read these words,as you read them, graze them, this moment. Thousands will utter them into the abyss, someday, perhaps for years to come; loudly, softly,repeatedly, again and again and again.Some will mock, some will laugh. Somewill shed a tear. But it is writtenonly for your lips, your eyes, your heart,beloved.Do as you please.It is written by an ideal heart,intense, yet free, when in thought of you. Written from a dehydrated pen, thatshed the last drops of her blood,onto you. And still, you do not know me.No, you will never know of this desire.It is a shame, when love cannot love,who she loves, amidst these mortal games. And No. It is for me to know,and for you to close the last pagesof my confessions, making nothing of it.As always, like always,I write for you and for the madnessthat stirs in every soul that has once burned, and for the tender parts of your soul, too.Nothing is hidden, nothing is revealed. The separation between the soul and mate,between lover and the beloved,is through spirit, is it not, my love? Or is it flesh? There, there is the clue.And this, this is the nature of our love. Forbidden,closed, then left ajar in oblivion.My eyes touch your lips, your eyes touch my lips, yet, no one makes a sound. No one moves on.What madness is this?And here you go, turning the pages now, there you go.",V.S. Atbay,"love, romance, spiritual, unrequited-love","A thousand lips, a thousand eyes,a thousand hearts will read these words,as you read them, graze them, this moment. Thousands will utter them into the abyss, someday, perhaps for years to come; loudly, softly,repeatedly, again and again and again.Some will mock, some will laugh. Somewill she would a tear. But it is writtenonly for your lips, your eyes, your heart,beloved.Do as you please.It is written by an ideal heart,intense, yet free, when in thought of you. Written from a dehydrated pen, thatshed the last drops of her blood,onto you. And still, you do not know me.No, you will never know of this desire.It is a shame, when love cannot love,who she loves, amidst these mortal games. And No. It is for me to know,and for you to close the last pagesof my confessions, making nothing of it.As always, like always,I write for you and for the madnessthat stirs in every soul that has once burned, and for the tender parts of your soul, too.Nothing is hidden, nothing is revealed. The separation between the soul and mate,between lover and the beloved,is through spirit, is it not, my love? Or is it flesh? There, there is the clue.And this, this is the nature of our love. Forbidden,closed, then left ajar in oblivion.My eyes touch your lips, your eyes touch my lips, yet, no one makes a sound. No one moves on.What madness is this?And here you go, turning the pages now, there you go."
626,"When I turn my mind's eye upon myself, I understand that I am a thing which is incomplete and dependent on another and which aspires without limit to ever greater and better things...","René Descartes, Meditations on First Philosophy","consciousness, identity, self, transcendence","When I turn my mind's eye upon myself, I understand that I am a thing which is incomplete and dependent on another and which aspires without limit to ever greater and better things..."
627,I put down my phone... Hugged her from behind… Kissed the back of her neck... Our fingers entwined… Bliss…,Steve Maraboli,"bliss, kissing, love, relationships",I put down my phone... Hugged her from behind... Kissed the back of her neck... Our fingers entwined... Bliss...
628,…“What the hell happened? I keep replaying everything and returning to the point where you held a dead man’s head in your hand and a sharp bloody knife in the other. That wasn’t the Katie I knew from college.,"Mary Abshire, Immortal Revenge","urban-fantasy-demons, vampire, vampires",...What the hell happened? I keep replaying everything and returning to the point where you held a dead mans head in your hand and a sharp bloody knife in the other. That was not the Katie I knew from college.
629,"For what prevents us from saying that the happy life is to have a mind that is free, lofty, fearless and steadfast - a mind that is placed beyond the reach of fear, beyond the reach of desire, that counts virtue the only good, baseness the only evil, and all else but a worthless mass of things, which come and go without increasing or diminishing the highest good, and neither subtract any part from the happy life nor add any part to it?A man thus grounded must, whether he wills or not, necessarily be attended by constant cheerfulness and a joy that is deep and issues from deep within, since he finds delight in his own resources, and desires no joys greater than his inner joys.","Seneca, The Stoic Philosophy of Seneca: Essays and Letters","anthem, happiness, intrisic-motivation, stoicism","For what prevents us from saying that the happy life is to have a mind that is free, lofty, fearless and steadfast - a mind that is placed beyond the reach of fear, beyond the reach of desire, that counts virtue the only good, baseness the only evil, and all else but a worthless mass of things, which come and go without increasing or diminishing the highest good, and neither subtract any part from the happy life nor add any part to it?A man thus grounded must, whether he wills or not, necessarily be attended by constant cheerfulness and a joy that is deep and issues from deep within, since he finds delight in his own resources, and desires no joys greater than his inner joys."
630,"Love is not the perfect match, love is the connection between two people.",Unarine Ramaru,"chemistry, connection, love, perfect, relationships","Love is not the perfect match, love is the connection between two people."
631,"You must maintain a state of happiness, state of joy to let the positive thoughts emanate from your mind.. If you are in a state of joy, your thoughts emanate positive energy, and you can influence others without much efforts.","Girdhar Joshi, Some Mistakes Have No Pardon","influence, joy, positive-energy","You must maintain a state of happiness, state of joy to let the positive thoughts emanate from your mind.. If you are in a state of joy, your thoughts emanate positive energy, and you can influence others without much efforts."
632,"Mind my words, Cheshire, I will have you banished from this kingdom if you tempt me.""""An empty threat from an empty girl.""She rounded on him, teeth flashing. ""I am not empty. I am full to the brim with murder and revenge. I am overflowing and I do not think you wish for me to overflow on to you.""""There was a time"" – Cheshire yawned – ""when you overflowed with whimsy and icing sugar. I liked that Catherine better.","Marissa Meyer, Heartless","catherine-pinkerton, cheshire, heartless, revenge","Mind my words, Cheshire, I will have you banished from this kingdom if you tempt me.""""An empty threat from an empty girl.""She rounded on him, teeth flashing. ""I am not empty. I am full to the brim with murder and revenge. I am overflowing and I do not think you wish for me to overflow on to you.""""There was a time"" Cheshire yawned ""when you overflowed with whimsy and icing sugar. I liked that Catherine better."
633,Of all the follies the greatest is to love the world.,Hazrat Muhammad P.B.U.H,"love, mistakes, world",Of all the follies the greatest is to love the world.
634,Perhaps being a Christian isn’t about experiencing the kingdom of heaven someday but about experiencing the kingdom of heaven every day.,"Rachel Held Evans, Evolving in Monkey Town: How a Girl Who Knew All the Answers Learned to Ask the Questions","christianity, inspirational",Perhaps being a Christian is not about experiencing the kingdom of heaven someday but about experiencing the kingdom of heaven every day.
635,"Realize your potential. Anyone that says one person can’t change the world is wrong. Your actions, thoughts, and words all ripple out into the world. One act of love can change someone’s life. One lifetime of love can change the world. When you realize all of your power, you can start benefiting the entire world with positive actions. Realize your potential to change the world.",Avina Celeste,"good, inspirational, love, motivational, potential","Realize your potential. Anyone that says one person cannot change the world is wrong. Your actions, thoughts, and words all ripple out into the world. One act of love can change someone is life. One lifetime of love can change the world. When you realize all of your power, you can start benefiting the entire world with positive actions. Realize your potential to change the world."
636,"One of the Internet's highest-profile companies, Priceline once dreamed of transforming the way consumer goods are bought and sold by offering customers the chance to 'name your own price' for a variety of products, including airline tickets.",Alex Berenson,"Internet, Name, Products ","One of the Internet's highest-profile companies, Priceline once dreamed of transforming the way consumer goods are bought and sold by offering customers the chance to 'name your own price' for a variety of products, including airline tickets."
637,"In rough times, pathfinders rely on work, friends, humor and prayer. They develop a support network.",Gail Sheehy,"Work, Friends, Support ","In rough times, pathfinders rely on work, friends, humor and prayer. They develop a support network."
638,"Today's public figures can no longer write their own speeches or books, and there is some evidence that they can't read them either. ",Gore Vidal,"politicians, speeches","Today's public figures can no longer write their own speeches or books, and there is some evidence that they cannot read them either."
639,Growing older does not seem to make you more certain. It simply presents you with more reasons for doubt.,"Jessie Burton, The Miniaturist",growing-up,Growing older does not seem to make you more certain. It simply presents you with more reasons for doubt.
640,"To lie for me is something rare, some people think that I lie because they don't understand me quite well. But sometimes like today I just predict an answer a part of the answer in math the other can be found with more thinking.",Deyth Banger,"lie, people, predict, rare, thinking","To lie for me is something rare, some people think that I lie because they do not understand me quite well. But sometimes like today I just predict an answer a part of the answer in math the other can be found with more thinking."
641,The task of the real intellectual consists of analyzing illusions in order to discover their causes.,Arthur Miller,illusion,The task of the real intellectual consists of analyzing illusions in order to discover their causes.
642,A person whose mind is quiet and satisfied in God is in the pathway to health.,Ellen G. White,"God, Mind, Quiet ",A person whose mind is quiet and satisfied in God is in the pathway to health.
643,Money  it turned out  was exactly like sex  you thought of nothing else if you didn't have it and thought of other things if you did.,James Baldwin,money,Money it turned out was exactly like sex you thought of nothing else if you did not have it and thought of other things if you did.
644,"What some people need,"" said Magrat, to the world in general, ""is a bit more heart.""""What some people need,"" said Granny Weatherwax, to the stormy sky, ""is a lot more brain.""Then she clutched at her hat to stop the wind from blowing i","Terry Pratchett, Witches Abroad","allusion, humor, humorous, the-wizard-of-oz, witches, witches-abroad","What some people need,"" said Magrat, to the world in general, ""is a bit more heart.""""What some people need,"" said Granny Weatherwax, to the stormy sky, ""is a lot more brain.""Then she clutched at her hat to stop the wind from blowing i"
645,"Many of the people I write about were deliberately left out of the history books that we were forced to read in school. For me, that history was ""written wrong"" and needed to be corrected. My intention was to make them visible so they could be role models for others. To show how each, in his or her own way, dribbled gracefully around that obstacle in the narrow corridor.","Kareem Abdul-Jabbar, On the Shoulders of Giants: My Journey Through the Harlem Renaissance","history, memoir, nonfiction, sports","Many of the people I write about were deliberately left out of the history books that we were forced to read in school. For me, that history was ""written wrong"" and needed to be corrected. My intention was to make them visible so they could be role models for others. To show how each, in his or her own way, dribbled gracefully around that obstacle in the narrow corridor."
