,quote,author,category,quote_norm
16,For a long time things were so bad. Very bad. Dark even when there was light.The only thing that kept the dark back was the Forever Shiny Thing that was her secret...It is a word...the word hangs on a silver chain. The word is HOPE.,"Dean Koontz, The Darkest Evening of the Year","grief-and-loss, hope",For a long time things were so bad. Very bad. Dark even when there was light.The only thing that kept the dark back was the Forever Shiny Thing that was her secret...It is a word...the word hangs on a silver chain. The word is HOPE.
17,We will never be more that we have been destined to be! ,Sorin Cerin,wisdom,We will never be more that we have been destined to be!
18,"And now these three remain: faith, hope and love. But the greatest of these is love.","Anonymous, Holy Bible: King James Version","faith, god, hope, love","And now these three remain: faith, hope and love. But the greatest of these is love."
19,Each way of being is more valued in the presence of the other. This balance between making camp and following the seasons is both very ancient and very new. We all need both.,"Gloria Steinem, My Life on the Road","balance, home, travel",Each way of being is more valued in the presence of the other. This balance between making camp and following the seasons is both very ancient and very new. We all need both.
20,Man is the artificer of his own happiness.,Henry David Thoreau,"self, reliance",Man is the artificer of his own happiness.
21,"Many of us are reactive, not proactive. We react. We hit back. We are ‘an eye for an eye’ practitioners. We attack when we are attacked, with good measure. Our barometer reads from the environment and makes us act accordingly. We are mirrors who reflect the anger in others, the bad attitude in the other person, the negative comments of others. Let me show you a higher level of living.","Nana Awere Damoah, Excursions in my Mind","anger, life, living, self-control","Many of us are reactive, not proactive. We react. We hit back. We are an eye for an eye practitioners. We attack when we are attacked, with good measure. Our barometer reads from the environment and makes us act accordingly. We are mirrors who reflect the anger in others, the bad attitude in the other person, the negative comments of others. Let me show you a higher level of living."
22,The sexiest thing about a man is the way he can make a woman smile even when she thinks there is nothing to smile about.,"Courtney Giardina, Behind the Strings","country-music-romance, drama, girl-quotes, nashville, romance",The sexiest thing about a man is the way he can make a woman smile even when she thinks there is nothing to smile about.
23,listen: there’s a hellof a good universe next door, let’s go,E.E. Cummings,listen: there is a hellof a good universe next door
24,Proportion is almost impossible to human beings. There is no one who does not exaggerate.,Ralph Waldo Emerson,deception,Proportion is almost impossible to human beings. There is no one who does not exaggerate.
25,"‎Lipstick is really magical. It holds more than a waxy bit of color - it holds the promise of a brilliant smile, a brilliant day, both literally and figuratively.",Roberta Gately,"lipstick-in-afghanistan, makeup, roberta-gately, women","Lipstick is really magical. It holds more than a waxy bit of color - it holds the promise of a brilliant smile, a brilliant day, both literally and figuratively."
26,"On a mental level, kindness and compassion give rise to lasting joy.",Auliq-Ice,"happiness, hope, kindness, optimism, peace, positive-attitude, self-acceptance","On a mental level, kindness and compassion give rise to lasting joy."
27,"The past cannot be redeamed. What has been and what might have been both bring us to what is. To know grief, we must be in the river of time, because grief thrives in the present and promises to be with us in the future until the end point. Only time conquers time and its burdens. There is no grief before or after time, which is all the consolation we should need.","Dean Koontz, Brother Odd","after, before, constant, future, futurepossibilities, grief, odd-thomas, time","The past cannot be redeamed. What has been and what might have been both bring us to what is. To know grief, we must be in the river of time, because grief thrives in the present and promises to be with us in the future until the end point. Only time conquers time and its burdens. There is no grief before or after time, which is all the consolation we should need."
28,"I stood where they'd left me. I watched them get smaller and smaller as they went down the hallway, leaving me there without a word, not even looking back. Only I was getting smaller and smaller, being swallowed up in the suffocating emptiness of the silent house; so that by the time they came back again, I would have disappeared.","Joan D. Vinge, Catspaw","isolation, loneliness","I stood where they would left me. I watched them get smaller and smaller as they went down the hallway, leaving me there without a word, not even looking back. Only I was getting smaller and smaller, being swallowed up in the suffocating emptiness of the silent house; so that by the time they came back again, I would have disappeared."
29,"The Christian's Bible is a drug store. Its contents remain the same, but the medical practice changes.",Mark Twain,"Changes, Practice, Bible ","The Christian's Bible is a drug store. Its contents remain the same, but the medical practice changes."
30,"Running away?"" He taunted, as I drew my glamour to me, feeling it surge beneath my skin. ""Always a coward, weren't you, prince? Never had the guts to really go for the kill."" ""You're right,"" I murmured, startling him. He frowned in wary surprise, and I smiled. ""I always regretted my words against Puck. There was always a part of me that didn't want to go through with it."" I lowered my blade, touching the tip to the floor. Ice spread from the point of the weapon, coating the ground and the walls, freezing the mirrors with sharp crinkling sounds.""But with you,"" I continued, narrowing my eyes, ""it's different. You're the part of him that I hate. The part that revels in the chaos you cause, the lives you destroy. And I can say this with complete certainty - killing you will be a pleasure.","Julie Kagawa, The Iron Knight","fight, puck-and-ash","Running away?"" He taunted, as I drew my glamour to me, feeling it surge beneath my skin. ""Always a coward, were not you, prince? Never had the guts to really go for the kill."" ""You are right,"" I murmured, startling him. He frowned in wary surprise, and I smiled. ""I always regretted my words against Puck. There was always a part of me that did not want to go through with it."" I lowered my blade, touching the tip to the floor. Ice spread from the point of the weapon, coating the ground and the walls, freezing the mirrors with sharp crinkling sounds.""But with you,"" I continued, narrowing my eyes, ""it is different. You are the part of him that I hate. The part that revels in the chaos you because, the lives you destroy. And I can say this with complete certainty - killing you will be a pleasure."
31,"If there is in this world a well-attested account, it is that of vampires. Nothing is lacking: official reports, affidavits of well-known people, of surgeons, of priests, of magistrates; the judicial proof is most complete. And with all that, who is there who believes in vampires?",Jean-Jacques Rousseau,vampires,"If there is in this world a well-attested account, it is that of vampires. Nothing is lacking: official reports, affidavits of well-known people, of surgeons, of priests, of magistrates; the judicial proof is most complete. And with all that, who is there who believes in vampires?"
32,"Geez, what do I need to do, use semaphore? I told you I was unclaimed.","Katie MacAlister, You Slay Me","communication, semaphore, unclaimed","Geez, what do I need to do, use semaphore? I told you I was unclaimed."
33,Philosophy is not a spectator sport.,"Nigel Warburton, Philosophy","active, philosophy, spectator, sport",Philosophy is not a spectator sport.
34,We learn to make a shell for ourselves when we are young and then spend the rest of our lives hoping for someone to reach inside and touch us. Just touch us—anything more than that would be too much for us to bear.,Bill Russell,"basketball, bill-russell, life, truth",We learn to make a she will for ourselves when we are young and then spend the rest of our lives hoping for someone to reach inside and touch us. Just touch usanything more than that would be too much for us to bear.
35,I am an example of what is possible when girls from the very beginning of their lives are loved and nurtured by people around them. I was surrounded by extraordinary women in my life who taught me about quiet strength and dignity.,Michelle Obama,"Life, Women, I Am ",I am an example of what is possible when girls from the very beginning of their lives are loved and nurtured by people around them. I was surrounded by extraordinary women in my life who taught me about quiet strength and dignity.
36,"...[T]hose who care about their souls and do not subordinate them to the body dissociate themselves firmly from these others and refuse to accompany them on their haphazard journey; and, believing that it is wrong to oppose philosophy with her offer of liberation and purification, they turn and follow her wherever she leads...","Socrates, Apology, Crito and Phaedo of Socrates.","belief, religion, science","...Those who care about their souls and do not subordinate them to the body dissociate themselves firmly from these others and refuse to accompany them on their haphazard journey; and, believing that it is wrong to oppose philosophy with her offer of liberation and purification, they turn and follow her wherever she leads..."
37,"After all, tomorrow is another day!","Margaret Mitchell, Gone with the Wind","classic, life, literature","After all, tomorrow is another day!"
38,"Myths tell us what those like us have done, can do, should do. Without myths to lead the way, we hesitate to leap forward. Listen to the wrong myths, and we might even go back a few steps.",N.K. Jemisin,"myths, stories","Myths tell us what those like us have done, can do, should do. Without myths to lead the way, we hesitate to leap forward. Listen to the wrong myths, and we might even go back a few steps."
39,You can only predict things after they have happened.,Eugène Ionesco,"future, past, predictions",You can only predict things after they have happened.
